	category	context	id	location	location_subtype	location_type	month	outcome_status	persistent_id
0	anti-social-behaviour		66575183	{'latitude': '52.635184', 'street': {'id': 883410, 'name': 'On or near Shopping Area'}, 'longitude': '-1.135455'}		Force	2018-07		
1	anti-social-behaviour		66581655	{'latitude': '52.637024', 'street': {'id': 883408, 'name': 'On or near Supermarket'}, 'longitude': '-1.128962'}		Force	2018-07		
2	anti-social-behaviour		66575849	{'latitude': '52.626412', 'street': {'id': 882457, 'name': 'On or near Glossop Street'}, 'longitude': '-1.109095'}		Force	2018-07		
3	anti-social-behaviour		66575853	{'latitude': '52.632887', 'street': {'id': 883388, 'name': 'On or near Belvoir Street'}, 'longitude': '-1.131127'}		Force	2018-07		
4	anti-social-behaviour		66581653	{'latitude': '52.628321', 'street': {'id': 883044, 'name': 'On or near Upper Tichborne Street'}, 'longitude': '-1.116606'}		Force	2018-07		
5	anti-social-behaviour		66575863	{'latitude': '52.636033', 'street': {'id': 883368, 'name': 'On or near Freeschool Lane'}, 'longitude': '-1.138424'}		Force	2018-07		
6	anti-social-behaviour		66575864	{'latitude': '52.629778', 'street': {'id': 883285, 'name': 'On or near Brookhouse Avenue'}, 'longitude': '-1.121585'}		Force	2018-07		
7	anti-social-behaviour		66581421	{'latitude': '52.631564', 'street': {'id': 883395, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-1.129661'}		Force	2018-07		
8	anti-social-behaviour		66574622	{'latitude': '52.623521', 'street': {'id': 882292, 'name': 'On or near Eastleigh Road'}, 'longitude': '-1.151167'}		Force	2018-07		
9	anti-social-behaviour		66573641	{'latitude': '52.635434', 'street': {'id': 883399, 'name': 'On or near Conference/exhibition Centre'}, 'longitude': '-1.126658'}		Force	2018-07		
10	anti-social-behaviour		66582052	{'latitude': '52.633414', 'street': {'id': 876793, 'name': 'On or near Bishop Street'}, 'longitude': '-1.131841'}		Force	2018-07		
11	anti-social-behaviour		66582049	{'latitude': '52.642641', 'street': {'id': 884320, 'name': 'On or near Taylor Road'}, 'longitude': '-1.122628'}		Force	2018-07		
12	anti-social-behaviour		66577163	{'latitude': '52.636721', 'street': {'id': 883359, 'name': 'On or near Haymarket'}, 'longitude': '-1.132898'}		Force	2018-07		
13	anti-social-behaviour		66582048	{'latitude': '52.637744', 'street': {'id': 883499, 'name': 'On or near Jarvis Street'}, 'longitude': '-1.142616'}		Force	2018-07		
14	anti-social-behaviour		66577172	{'latitude': '52.636721', 'street': {'id': 883359, 'name': 'On or near Haymarket'}, 'longitude': '-1.132898'}		Force	2018-07		
15	anti-social-behaviour		66577177	{'latitude': '52.627542', 'street': {'id': 883245, 'name': 'On or near West Street'}, 'longitude': '-1.129268'}		Force	2018-07		
16	anti-social-behaviour		66577178	{'latitude': '52.637674', 'street': {'id': 883469, 'name': 'On or near Tudor Road'}, 'longitude': '-1.147819'}		Force	2018-07		
17	anti-social-behaviour		66577180	{'latitude': '52.628613', 'street': {'id': 883221, 'name': 'On or near Highfield Street'}, 'longitude': '-1.118388'}		Force	2018-07		
18	anti-social-behaviour		66576212	{'latitude': '52.635598', 'street': {'id': 883314, 'name': 'On or near Yeoman Lane'}, 'longitude': '-1.129330'}		Force	2018-07		
19	anti-social-behaviour		66576219	{'latitude': '52.632074', 'street': {'id': 883294, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-1.137984'}		Force	2018-07		
20	anti-social-behaviour		66576222	{'latitude': '52.629292', 'street': {'id': 883212, 'name': 'On or near Severn Street'}, 'longitude': '-1.117842'}		Force	2018-07		
21	anti-social-behaviour		66576523	{'latitude': '52.627957', 'street': {'id': 883057, 'name': 'On or near Conifer Close'}, 'longitude': '-1.110068'}		Force	2018-07		
22	anti-social-behaviour		66577187	{'latitude': '52.635767', 'street': {'id': 883291, 'name': 'On or near High Street'}, 'longitude': '-1.135267'}		Force	2018-07		
23	anti-social-behaviour		66575488	{'latitude': '52.636362', 'street': {'id': 883137, 'name': 'On or near Hartington Road'}, 'longitude': '-1.111168'}		Force	2018-07		
24	anti-social-behaviour		66582044	{'latitude': '52.632352', 'street': {'id': 883486, 'name': 'On or near Narborough Road North'}, 'longitude': '-1.146549'}		Force	2018-07		
25	anti-social-behaviour		66582036	{'latitude': '52.625201', 'street': {'id': 882420, 'name': 'On or near St James Road'}, 'longitude': '-1.114231'}		Force	2018-07		
26	anti-social-behaviour		66582035	{'latitude': '52.628993', 'street': {'id': 883084, 'name': 'On or near Sutherland Street'}, 'longitude': '-1.112795'}		Force	2018-07		
27	anti-social-behaviour		66582031	{'latitude': '52.633879', 'street': {'id': 883358, 'name': 'On or near Horsefair Street'}, 'longitude': '-1.132821'}		Force	2018-07		
28	anti-social-behaviour		66573954	{'latitude': '52.634824', 'street': {'id': 883427, 'name': 'On or near Janet Setchfield Place'}, 'longitude': '-1.139112'}		Force	2018-07		
29	anti-social-behaviour		66574595	{'latitude': '52.624935', 'street': {'id': 882443, 'name': 'On or near Lyme Road'}, 'longitude': '-1.109849'}		Force	2018-07		
30	anti-social-behaviour		66576836	{'latitude': '52.636256', 'street': {'id': 883316, 'name': 'On or near Wimbledon Street'}, 'longitude': '-1.125933'}		Force	2018-07		
31	anti-social-behaviour		66576842	{'latitude': '52.633161', 'street': {'id': 883433, 'name': 'On or near Castle Street'}, 'longitude': '-1.140416'}		Force	2018-07		
32	anti-social-behaviour		66576847	{'latitude': '52.641197', 'street': {'id': 884356, 'name': 'On or near A594'}, 'longitude': '-1.129100'}		Force	2018-07		
33	anti-social-behaviour		66576849	{'latitude': '52.631380', 'street': {'id': 883322, 'name': 'On or near Upper Brown Street'}, 'longitude': '-1.135338'}		Force	2018-07		
34	anti-social-behaviour		66576851	{'latitude': '52.635006', 'street': {'id': 883394, 'name': 'On or near Nightclub'}, 'longitude': '-1.127066'}		Force	2018-07		
35	anti-social-behaviour		66576853	{'latitude': '52.628588', 'street': {'id': 883223, 'name': 'On or near Gotham Street'}, 'longitude': '-1.119910'}		Force	2018-07		
36	anti-social-behaviour		66576869	{'latitude': '52.635121', 'street': {'id': 883430, 'name': 'On or near High Street'}, 'longitude': '-1.139077'}		Force	2018-07		
37	anti-social-behaviour		66576877	{'latitude': '52.636721', 'street': {'id': 883359, 'name': 'On or near Haymarket'}, 'longitude': '-1.132898'}		Force	2018-07		
38	anti-social-behaviour		66581514	{'latitude': '52.627557', 'street': {'id': 883053, 'name': 'On or near Guilford Street'}, 'longitude': '-1.114228'}		Force	2018-07		
